id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5.0,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981
6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1.0,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,1.0,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928
4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,4.0,-5.692,0.0493,0.299,0.0,0.367,0.415,121.932
3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11.0,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
6bQfNiqyCX7UaQSvVVGo4I,0.788,0.859,2.0,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02
27NovPIUIRrOZoCHxABJwK,0.736,0.704,3.0,-7.409,0.0615,0.0203,0.0,0.0501,0.894,149.995
2Xr1dTzJee307rmrkt8c0g,0.727,0.739,8.0,-3.805,0.0411,0.365,0.00137,0.161,0.533,93.005
20on25jryn53hWghthWWW3,0.854,0.806,11.0,-8.262,0.0886,0.0209,0.0542,0.0703,0.637,124.927
6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,5.0,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998
5dPz35akJjPqb17yeqNwqH,0.604,0.741,2.0,-5.571,0.0475,0.178,3.49e-05,0.409,0.473,153.947
1SOClUWhOi8vHZYMz3GluK,0.671,0.673,11.0,-6.941,0.0444,0.148,5.29e-05,0.304,0.494,121.963
3FeVmId7tL5YN8B7R3imoM,0.588,0.701,9.0,-6.39,0.0402,0.00813,0.0,0.2,0.443,104.988
1r9xUipOqoNwggBpENDsvJ,0.728,0.783,11.0,-4.424,0.266,0.237,0.0,0.434,0.555,77.011
00Blm7zeNqgYLPtW6zg8cj,0.687,0.781,1.0,-4.806,0.053,0.0361,0.0,0.0755,0.688,97.014
5dXWFMwD7I7zXsInONVl0H,0.535,0.388,7.0,-9.805,0.155,0.507,0.0,0.11,0.412,106.703
4iN16F8JtVxG2UTzp3avGl,0.627,0.618,2.0,-8.529,0.0437,0.0558,0.0,0.351,0.848,82.03
6PQ88X9TkUIAUIZJHW2upE,0.808,0.897,11.0,-3.712,0.0348,0.0469,3.14e-05,0.364,0.591,126.026
5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7.0,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1.0,-6.509,0.0707,0.304,0.0,0.0926,0.194,130.041
3nOz1U41SZZ0N3fuUWr9nb,0.646,0.471,10.0,-9.247,0.157,0.122,0.0,0.125,0.455,170.084
3Kkjo3cT83cw09VJyrLNwX,0.534,0.725,1.0,-3.906,0.046,0.091,0.0,0.0264,0.55,88.098
3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,6.0,-8.117,0.103,0.515,0.000411,0.172,0.262,120.966
18asYwWugKjjsihZ0YvRxO,0.754,0.763,7.0,-4.627,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
3s1KwrLP0NlFWiWbjz6bfQ,0.956,0.417,7.0,-7.892,0.0926,0.572,0.00071,0.0782,0.714,108.015
0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1.0,-4.51,0.22,0.00614,0.0,0.0486,0.546,87.981
4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,2.0,-6.634,0.144,0.00265,0.0,0.357,0.106,72.993
0eu4C55hL6x29mmeAjytzC,0.7,0.49,0.0,-5.187,0.076,0.186,0.0,0.117,0.569,79.982
32BeYxKPrig1LefHsC0Xuo,0.334,0.599,0.0,-5.742,0.0365,0.0468,0.000392,0.205,0.127,161.74
07MDkzWARZaLEdKxo6yArG,0.773,0.47,2.0,-7.93,0.0299,0.0153,0.000193,0.0851,0.399,94.995
7DF8lvLdV3htIbuTWpc7lR,0.603,0.771,9.0,-6.336,0.0627,0.194,0.0,0.13,0.332,139.988
7hU3IHwjX150XLoTVmjD0q,0.831,0.554,1.0,-9.998,0.218,0.161,6.12e-05,0.152,0.396,140.026
6f5ExP43esnvdKPddwKXJH,0.717,0.671,0.0,-5.077,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054
748mdHapucXQri7IAO8yFK,0.762,0.701,8.0,-3.541,0.0286,0.235,0.000158,0.123,0.742,110.968
60wMNCIWYZwbOywZXgfQ9P,0.617,0.696,8.0,-6.257,0.0951,0.181,0.000316,0.0714,0.714,167.948
3eJH2nAjvNXdmPfBkALiPZ,0.774,0.792,10.0,-4.021,0.0523,0.051,0.0,0.155,0.507,122.062
2KnLkZ3z7PO3kgVGHGqDpD,0.398,0.286,7.0,-11.881,0.033,0.616,0.000146,0.0912,0.0666,78.262
6PERP62TejQjgHu81OHxgM,0.556,0.661,6.0,-5.052,0.204,0.3,0.0,0.101,0.668,168.56
6dmXZ9B5HdFAyzHeTneYBK,0.77,0.302,0.0,-7.911,0.0466,0.946,3.38e-05,0.125,0.821,136.01
5J6rTmMjF9DVIAF8G3M9n4,0.687,0.645,0.0,-4.761,0.04,0.0509,2.96e-06,0.106,0.424,135.083
3Wrjm47oTz2sjIgck11l5e,0.714,0.8,11.0,-4.808,0.0504,0.127,0.0,0.359,0.589,134.002
2gQPv5jvVPqU2a9HhMNO1v,0.594,0.612,8.0,-6.627,0.363,0.835,0.0,0.461,0.687,179.629
6w8ZPYdnGajyfPddTWdthN,0.703,0.68,9.0,-6.118,0.0431,0.0171,0.0,0.178,0.536,97.985
3BZEcbdtXQSo7OrvKRJ6mb,0.61,0.508,8.0,-6.682,0.152,0.297,0.0,0.384,0.758,178.818
